NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
50	374.699	3.635	63.164	2.668	0.002	0.999	40000.0
51	454.214	4.406	82.752	3.51	0.002	0.999	40000.0
52	439.046	4.268	90.996	3.872	0.002	0.999	20000.0
53	386.074	3.777	66.606	2.866	0.002	0.999	50000.0
54	454.095	4.418	78.068	3.263	0.003	0.999	20000.0
55	390.828	3.83	78.967	3.411	0.002	0.999	20000.0
56	355.621	3.489	63.661	2.77	0.002	0.999	20000.0
57	404.953	3.938	75.169	3.166	0.002	1.0	30000.0
58	410.737	4.02	73.057	3.119	0.002	0.999	20000.0
59	360.421	3.503	76.907	3.226	0.002	1.0	30000.0
60	424.694	4.118	79.164	3.356	0.002	0.999	40000.0
61	407.583	3.966	69.141	2.915	0.002	0.999	20000.0
62	410.308	3.992	67.614	2.834	0.003	0.999	20000.0
63	444.66	4.343	72.191	3.104	0.002	1.0	30000.0
64	364.036	3.563	72.371	3.073	0.002	0.999	40000.0
65	354.578	3.435	65.872	2.812	0.002	0.999	30000.0
66	358.452	3.473	94.624	3.979	0.002	0.999	20000.0
67	348.089	3.407	57.769	2.483	0.002	1.0	30000.0
68	353.614	3.431	70.447	2.992	0.002	0.999	20000.0
69	362.437	3.532	59.484	2.486	0.002	0.999	20000.0
70	333.142	3.231	57.321	2.424	0.002	0.999	20000.0
71	354.639	3.437	65.682	2.765	0.002	0.999	20000.0
72	351.805	3.414	70.476	2.987	0.002	0.999	20000.0
73	395.887	3.868	69.842	2.945	0.002	0.999	20000.0
74	368.957	3.588	63.688	2.679	0.002	1.0	20000.0
75	386.236	3.768	68.121	2.841	0.002	0.999	40000.0
76	329.742	3.209	57.151	2.427	0.002	1.0	20000.0
77	417.029	4.078	74.534	3.136	0.002	1.0	30000.0
78	352.029	3.425	54.978	2.338	0.002	1.0	30000.0
79	424.515	4.147	70.763	2.991	0.002	0.999	20000.0
80	446.616	4.338	76.201	3.223	0.002	1.0	30000.0
81	384.037	3.732	61.378	2.57	0.002	1.0	20000.0
82	415.251	4.045	73.989	3.093	0.002	0.999	30000.0
83	450.916	4.386	94.919	3.943	0.002	0.999	20000.0
84	303.822	2.947	51.75	2.205	0.002	1.0	20000.0
85	395.479	3.848	67.34	2.867	0.002	1.0	20000.0
86	362.301	3.514	78.45	3.334	0.002	0.999	20000.0
87	427.871	4.162	89.707	3.83	0.002	1.0	50000.0
88	424.092	4.118	82.331	3.479	0.002	1.0	20000.0
89	360.268	3.495	62.317	2.66	0.002	0.999	30000.0
90	452.917	4.405	92.351	3.939	0.002	1.0	30000.0
91	336.038	3.293	54.548	2.338	0.002	0.999	20000.0
92	401.893	3.898	80.381	3.439	0.002	0.999	20000.0
93	433.815	4.215	88.357	3.752	0.002	0.999	20000.0
94	415.728	4.058	72.956	3.058	0.002	0.999	20000.0
95	355.326	3.447	64.295	2.727	0.002	0.999	20000.0
96	340.747	3.328	57.734	2.465	0.002	1.0	20000.0
97	344.201	3.339	67.319	2.845	0.002	0.999	20000.0
98	363.469	3.527	80.469	3.39	0.002	0.999	30000.0
99	386.425	3.757	68.032	2.863	0.002	1.0	20000.0
100	336.936	3.285	59.973	2.516	0.002	0.999	20000.0
101	354.251	3.437	64.027	2.708	0.002	0.999	30000.0
102	312.733	3.03	51.112	2.158	0.002	0.999	20000.0
103	423.37	4.149	90.363	3.92	0.002	0.999	20000.0
104	434.057	4.221	70.671	2.969	0.002	1.0	30000.0
