NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
456	0.0	0.0	0.0	0.0	0.0	1.0	20000.0
457	0.0	0.0	0.0	0.0	0.0	1.0	40000.0
458	0.0	0.0	0.0	0.0	0.0	1.0	30000.0
459	0.0	0.0	0.0	0.0	0.0	1.0	30000.0
460	2.213	0.072	1.23	0.205	0.0	1.0	20000.0
461	0.0	0.0	0.0	0.0	0.0	1.0	20000.0
462	0.0	0.0	0.0	0.0	0.0	1.0	20000.0
463	0.0	0.0	0.0	0.0	0.0	1.0	20000.0
464	0.0	0.0	0.0	0.0	0.0	1.0	40000.0
465	3.457	0.113	1.457	0.252	0.0	1.0	30000.0
466	0.214	0.007	0.136	0.023	0.0	1.0	40000.0
467	0.022	0.001	0.015	0.003	0.0	1.0	30000.0
468	0.0	0.0	0.0	0.0	0.0	1.0	30000.0
469	0.0	0.0	0.0	0.0	0.0	1.0	20000.0
470	0.0	0.0	0.0	0.0	0.0	1.0	20000.0
471	0.364	0.012	0.257	0.044	0.0	1.0	20000.0
472	0.0	0.0	0.0	0.0	0.0	1.0	20000.0
473	0.0	0.0	0.0	0.0	0.0	1.0	20000.0
474	0.0	0.0	0.0	0.0	0.0	1.0	30000.0
475	0.004	0.0	0.002	0.0	0.0	1.0	20000.0
476	2.514	0.082	1.24	0.209	0.0	1.0	20000.0
477	3.631	0.119	1.599	0.27	0.0	1.0	20000.0
478	0.006	0.0	0.004	0.001	0.0	1.0	20000.0
479	0.0	0.0	0.0	0.0	0.0	1.0	20000.0
480	0.667	0.022	0.351	0.059	0.0	1.0	20000.0
481	1.428	0.046	0.861	0.146	0.0	1.0	20000.0
482	0.741	0.024	0.501	0.085	0.0	1.0	50000.0
483	0.0	0.0	0.0	0.0	0.0	1.0	20000.0
484	1.83	0.06	0.916	0.153	0.0	1.0	50000.0
485	0.489	0.016	0.29	0.049	0.0	1.0	30000.0
486	0.0	0.0	0.0	0.0	0.0	1.0	20000.0
